iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,edge_accuracy,edge_loss,edge_count,loss,accuracy
0,0.008403361344537815,0,58.244153344,11.5,0.0,0.0,0.09708523750305176,0.09651250699994307,774.5387918949127,769.3061699690007,0.026874542236328125,0.026679682000008142,180.64325618743896,178.89482225499427,0.07016944885253906,0.0697932990000254,593.5676603317261,590.0998485050051,0.0701444149017334,0.06976924499997494,593.3405933380127,589.885382537997,0.9822134387351779,0.042680524289608,506,0.042680524289608,0.9822134387351779
1,0.01680672268907563,32,58.245185536,11.5,0.0,0.0,0.09487295150756836,0.09431809500006239,774.6336648464203,769.4004880640008,0.022673845291137695,0.022500100999991446,180.6659300327301,178.91732235599426,0.07215237617492676,0.07177918800005045,593.639812707901,590.1716276930051,0.07212686538696289,0.07175472699998409,593.4127202033997,589.957137264997,0.9981343283582089,0.011788975447416306,536,0.011788975447416306,0.9981343283582089
2,0.025210084033613446,64,58.245701632,11.5,0.0,0.0,0.08928561210632324,0.08873981199997161,774.7229504585266,769.4892278760008,0.021323204040527344,0.021162247000006573,180.68725323677063,178.93848460299427,0.06792378425598145,0.06754097900000033,593.707736492157,590.2391686720051,0.06789827346801758,0.06751686899997367,593.4806184768677,590.0246541339969,0.9939271255060729,0.017492150887846947,494,0.017492150887846947,0.9939271255060729
3,0.03361344537815126,96,58.245701632,11.5,0.0,0.0,0.11290645599365234,0.11227805600003649,774.8358569145203,769.6015059320008,0.024423599243164062,0.02424873400002525,180.7116768360138,178.9627333369943,0.08844470977783203,0.08799300199996196,593.7961812019348,590.3271616740051,0.08841991424560547,0.08796933899998294,593.5690383911133,590.1126234729969,0.9926686217008798,0.026597289368510246,682,0.026597289368510246,0.9926686217008798
4,0.04201680672268908,128,58.245701632,11.5,0.0,0.0,0.09692597389221191,0.09637021699995785,774.9327828884125,769.6978761490008,0.023337364196777344,0.023161766999919564,180.73501420021057,178.9858951039942,0.07355046272277832,0.07317226800000753,593.8697316646576,590.4003339420051,0.07352495193481445,0.07314768599997024,593.6425633430481,590.1857711589969,0.9925650557620818,0.02354009449481964,538,0.02354009449481964,0.9925650557620818
5,0.05042016806722689,160,58.246217728,11.5,0.0,0.0,0.12031316757202148,0.11961899000004905,775.0530960559845,769.8174951390008,0.024121761322021484,0.023951170000032107,180.7591359615326,179.00984627399424,0.09615135192871094,0.09562910100009958,593.9658830165863,590.4959630430052,0.09611940383911133,0.09559952500001145,593.7386827468872,590.2813706839969,0.9934725848563969,0.02238503471016884,766,0.02238503471016884,0.9934725848563969
6,0.058823529411764705,192,58.249146368,11.5,0.0,0.0,0.11723875999450684,0.11657268999999815,775.170334815979,769.9340678290008,0.027593135833740234,0.02738591499996801,180.78672909736633,179.0372321889942,0.08960318565368652,0.08914641100000154,594.05548620224,590.5851094540052,0.08957529067993164,0.08911960099999305,593.8282580375671,590.3704902849969,0.9914772727272727,0.023132972419261932,704,0.023132972419261932,0.9914772727272727
7,0.06722689075630252,224,58.249662464,11.5,0.0,0.0,0.07410764694213867,0.07365454399996452,775.2444424629211,770.0077223730008,0.02037787437438965,0.020219529999963015,180.80710697174072,179.05745171899417,0.053642988204956055,0.053386007999961294,594.109129190445,590.6384954620052,0.05361652374267578,0.05336064899995563,593.8818745613098,590.4238509339968,1.0,0.007145507261157036,360,0.007145507261157036,1.0
8,0.07563025210084033,256,58.25030144,11.5,0.0,0.0,0.07702183723449707,0.07654170899991186,775.3214643001556,770.0842640820007,0.01979684829711914,0.01964380499998697,180.82690382003784,179.07709552399416,0.05718708038330078,0.056861766999986685,594.1663162708282,590.6953572290051,0.05716228485107422,0.05683778100001291,593.9390368461609,590.4806887149969,0.9974874371859297,0.019499609246850014,398,0.019499609246850014,0.9974874371859297
9,0.08403361344537816,288,58.250756096,11.5,0.0,0.0,0.10544347763061523,0.10483521999992718,775.4269077777863,770.1890993020006,0.02360081672668457,0.0234242249999852,180.85050463676453,179.10051974899415,0.08180570602416992,0.08137563900004352,594.2481219768524,590.7767328680052,0.08178043365478516,0.08135145999995075,594.0208172798157,590.5620401749968,0.9807073954983923,0.04762272536754608,622,0.04762272536754608,0.9807073954983923
10,0.09243697478991597,320,58.250756096,11.5,0.0,0.0,0.10259699821472168,0.10201241799995842,775.529504776001,770.2911117200006,0.02359151840209961,0.023414380000076562,180.87409615516663,179.12393412899422,0.07896780967712402,0.07856185100001767,594.3270897865295,590.8552947190052,0.07894301414489746,0.07853788800002803,594.0997602939606,590.6405780629968,0.9914675767918089,0.024849625304341316,586,0.024849625304341316,0.9914675767918089
11,0.10084033613445378,352,58.251272192,11.5,0.0,0.0,0.09375119209289551,0.09320192699999552,775.6232559680939,770.3843136470006,0.022242069244384766,0.022070339000038075,180.896338224411,179.14600446799426,0.0714714527130127,0.07109619700008807,594.3985612392426,590.9263909160053,0.07144618034362793,0.07107165399997939,594.1712064743042,590.7116497169968,0.9961977186311787,0.02650708518922329,526,0.02650708518922329,0.9961977186311787
12,0.1092436974789916,384,58.251788288,11.5,0.0,0.0,0.10200953483581543,0.10139927700004137,775.7252655029297,770.4857129240006,0.02670884132385254,0.026512499999967076,180.92304706573486,179.17251696799423,0.07526278495788574,0.07485062500006734,594.4738240242004,591.0012415410054,0.07523679733276367,0.07482607999997981,594.246443271637,590.7864757969968,0.9982078853046595,0.014018409885466099,558,0.014018409885466099,0.9982078853046595
13,0.11764705882352941,416,58.252304384,11.5,0.0,0.0,0.10768938064575195,0.10708209099993837,775.8329548835754,770.5927950150005,0.023744821548461914,0.023570482999957676,180.94679188728333,179.19608745099418,0.08390545845031738,0.0834743159999789,594.5577294826508,591.0847158570053,0.08388018608093262,0.08345011799997337,594.3303234577179,590.8699259149968,0.9953416149068323,0.024071289226412773,644,0.024071289226412773,0.9953416149068323
14,0.12605042016806722,448,58.25282048,11.5,0.0,0.0,0.10172867774963379,0.10114692100000866,775.9346835613251,770.6939419360006,0.022942304611206055,0.02277231900006882,180.96973419189453,179.21885976999425,0.07874870300292969,0.07833849700000428,594.6364781856537,591.1630543540053,0.07872438430786133,0.07831495700008873,594.4090478420258,590.9482408719969,0.98,0.047695837914943695,600,0.047695837914943695,0.98
15,0.13445378151260504,480,58.25282048,11.5,0.0,0.0,0.05945014953613281,0.05902779799998825,775.9941337108612,770.7529697340005,0.01843857765197754,0.01829381699997157,180.9881727695465,179.23715358699422,0.040970563888549805,0.04069477200005167,594.6774487495422,591.2037491260054,0.04093599319458008,0.04066250400001081,594.4499838352203,590.9889033759969,0.9959349593495935,0.013246011920273304,246,0.013246011920273304,0.9959349593495935
16,0.14285714285714285,512,58.253336576,11.5,0.0,0.0,0.09383225440979004,0.09328489799997897,776.087965965271,770.8462546320005,0.02226853370666504,0.02209993199994642,181.01044130325317,179.25925351899417,0.07152152061462402,0.07114431699994839,594.7489702701569,591.2748934430053,0.07149028778076172,0.07111510900006124,594.5214741230011,591.0600184849969,0.9943820224719101,0.017153069376945496,534,0.017153069376945496,0.9943820224719101
17,0.15126050420168066,544,58.25368064,11.5,0.0,0.0,0.09670162200927734,0.09611690000008366,776.1846675872803,770.9423715320006,0.02301478385925293,0.02283465499999693,181.03345608711243,179.28208817399417,0.07363724708557129,0.0732354840000653,594.8226075172424,591.3481289270054,0.07360148429870605,0.07320229599997674,594.5950756072998,591.1332207809969,0.9962121212121212,0.012107109650969505,528,0.012107109650969505,0.9962121212121212
18,0.15966386554621848,576,58.253930496,11.5,0.0,0.0,0.10255122184753418,0.10193799000001036,776.2872188091278,771.0443095220006,0.02708148956298828,0.02688624699999309,181.06053757667542,179.30897442099416,0.0754244327545166,0.07500891500001217,594.898031949997,591.4231378420054,0.07539701461791992,0.07498230600003808,594.6704726219177,591.208203086997,0.9927797833935018,0.03485075756907463,554,0.03485075756907463,0.9927797833935018
19,0.16806722689075632,608,58.254962688,11.5,0.0,0.0,0.12463045120239258,0.1239334870000448,776.4118492603302,771.1682430090007,0.025621891021728516,0.025429401999986112,181.08615946769714,179.33440382299415,0.09897017478942871,0.09846750199994858,594.9970021247864,591.5216053440054,0.09894514083862305,0.09844290500006991,594.7694177627563,591.306645991997,0.9974683544303797,0.01784987933933735,790,0.01784987933933735,0.9974683544303797
20,0.17647058823529413,640,58.254962688,11.5,0.0,0.0,0.09534096717834473,0.09476999599996816,776.5071902275085,771.2630130050006,0.0228726863861084,0.022698215999980675,181.10903215408325,179.35710203899413,0.07242918014526367,0.0720344799999566,595.0694313049316,591.5936398240053,0.07239747047424316,0.07200859100009893,594.8418152332306,591.3786545829971,0.9942528735632183,0.017161356285214424,522,0.017161356285214424,0.9942528735632183
21,0.18487394957983194,672,58.25599488,11.5,0.0,0.0,0.1074526309967041,0.10684248600000501,776.6146428585052,771.3698554910006,0.023814678192138672,0.023634882999999718,181.1328468322754,179.38073692199413,0.08360004425048828,0.08317153099994812,595.1530313491821,591.6768113550053,0.08357453346252441,0.08314690100007738,594.9253897666931,591.4618014839972,0.998422712933754,0.011252375319600105,634,0.011252375319600105,0.998422712933754
